"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","745","Senaryo 3: Ürün Sepete Ekleme","chromium","Fri Apr 17 06:10:27 UTC 2026","passed","Fri Apr 17 06:10:27 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","556","Senaryo 9: Ürün Detay Sayfası","chromium","Fri Apr 17 06:10:32 UTC 2026","passed","Fri Apr 17 06:10:33 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","637","Senaryo 5: Ürün Sıralama (Price Low to High)","chromium","Fri Apr 17 06:10:28 UTC 2026","passed","Fri Apr 17 06:10:29 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","557","Senaryo 1: Başarılı Login","chromium","Fri Apr 17 06:10:26 UTC 2026","passed","Fri Apr 17 06:10:26 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","700","Senaryo 1: Başarılı Login","chromium","Fri Apr 17 06:10:23 UTC 2026","passed","Fri Apr 17 06:10:24 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","1012","Senaryo 4: Sepetten Ürün Çıkarma","firefox","Fri Apr 17 06:10:38 UTC 2026","passed","Fri Apr 17 06:10:39 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1379","Senaryo 1: Başarılı Login","firefox","Fri Apr 17 06:10:34 UTC 2026","passed","Fri Apr 17 06:10:35 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","457","Senaryo 2: Hatalı Login","chromium","Fri Apr 17 06:10:26 UTC 2026","passed","Fri Apr 17 06:10:27 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","507","Senaryo 2: Hatalı Login","chromium","Fri Apr 17 06:10:25 UTC 2026","passed","Fri Apr 17 06:10:26 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","637","Senaryo 10: Cross-browser / Smoke Test","firefox","Fri Apr 17 06:10:44 UTC 2026","passed","Fri Apr 17 06:10:45 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1677","Senaryo 8: Logout İşlemi","firefox","Fri Apr 17 06:10:42 UTC 2026","passed","Fri Apr 17 06:10:44 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","505","Senaryo 10: Cross-browser / Smoke Test","chromium","Fri Apr 17 06:10:33 UTC 2026","passed","Fri Apr 17 06:10:33 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","767","Senaryo 4: Sepetten Ürün Çıkarma","chromium","Fri Apr 17 06:10:27 UTC 2026","passed","Fri Apr 17 06:10:28 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","653","Senaryo 9: Ürün Detay Sayfası","firefox","Fri Apr 17 06:10:44 UTC 2026","passed","Fri Apr 17 06:10:44 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","910","Senaryo 6: Başarılı Checkout","chromium","Fri Apr 17 06:10:29 UTC 2026","passed","Fri Apr 17 06:10:30 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","568","Senaryo 2: Hatalı Login","firefox","Fri Apr 17 06:10:37 UTC 2026","passed","Fri Apr 17 06:10:37 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1122","Senaryo 6: Başarılı Checkout","firefox","Fri Apr 17 06:10:40 UTC 2026","passed","Fri Apr 17 06:10:41 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","644","Senaryo 1: Başarılı Login","firefox","Fri Apr 17 06:10:36 UTC 2026","passed","Fri Apr 17 06:10:37 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","851","Senaryo 3: Ürün Sepete Ekleme","firefox","Fri Apr 17 06:10:37 UTC 2026","passed","Fri Apr 17 06:10:38 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1534","Senaryo 8: Logout İşlemi","chromium","Fri Apr 17 06:10:30 UTC 2026","passed","Fri Apr 17 06:10:32 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","616","Senaryo 2: Hatalı Login","firefox","Fri Apr 17 06:10:35 UTC 2026","passed","Fri Apr 17 06:10:36 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","778","Senaryo 5: Ürün Sıralama (Price Low to High)","firefox","Fri Apr 17 06:10:39 UTC 2026","passed","Fri Apr 17 06:10:40 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","639","Senaryo 7: Checkout - Zorunlu Alan Kontrolü","chromium","Fri Apr 17 06:10:30 UTC 2026","passed","Fri Apr 17 06:10:30 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","856","Senaryo 7: Checkout - Zorunlu Alan Kontrolü","firefox","Fri Apr 17 06:10:41 UTC 2026","passed","Fri Apr 17 06:10:42 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
