"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4924","Should verify UI layout on Tablet","OrangeHRM UI & Responsive Verification","Thu Apr 16 09:30:54 UTC 2026","passed","Thu Apr 16 09:30:59 UTC 2026","","","",""
"OrangeHRM Login sayfasinin WCAG 2.1 AA standartlarina göre derinlemesine taranmasi.","9521","Should perform a deep scan for WCAG 2.1 AA","OrangeHRM Accessibility Deep Audit","Thu Apr 16 09:29:04 UTC 2026","failed","Thu Apr 16 09:29:14 UTC 2026","","","",""
"","10831","Should verify UI layout on Mobile","OrangeHRM UI & Responsive Verification","Thu Apr 16 09:30:13 UTC 2026","passed","Thu Apr 16 09:30:24 UTC 2026","","","",""
"","4877","Should verify UI layout on Laptop","OrangeHRM UI & Responsive Verification","Thu Apr 16 09:30:00 UTC 2026","passed","Thu Apr 16 09:30:05 UTC 2026","","","",""
"","10880","Should verify UI layout on Desktop_FHD","OrangeHRM UI & Responsive Verification","Thu Apr 16 09:29:49 UTC 2026","passed","Thu Apr 16 09:30:00 UTC 2026","","","",""
"OrangeHRM Login sayfasinin WCAG 2.1 AA standartlarina göre derinlemesine taranmasi.","14047","Should perform a deep scan for WCAG 2.1 AA","OrangeHRM Accessibility Deep Audit","Thu Apr 16 09:30:23 UTC 2026","failed","Thu Apr 16 09:30:37 UTC 2026","","","",""
"","8448","Should verify UI layout on Laptop","OrangeHRM UI & Responsive Verification","Thu Apr 16 09:30:46 UTC 2026","passed","Thu Apr 16 09:30:54 UTC 2026","","","",""
"","3221","Should verify UI layout on Mobile","OrangeHRM UI & Responsive Verification","Thu Apr 16 09:30:59 UTC 2026","passed","Thu Apr 16 09:31:02 UTC 2026","","","",""
"","8490","Should verify UI layout on Tablet","OrangeHRM UI & Responsive Verification","Thu Apr 16 09:30:05 UTC 2026","passed","Thu Apr 16 09:30:13 UTC 2026","","","",""
"","13563","Should verify UI layout on Desktop_FHD","OrangeHRM UI & Responsive Verification","Thu Apr 16 09:29:43 UTC 2026","passed","Thu Apr 16 09:29:57 UTC 2026","","","",""
"","7821","Should verify UI layout on Laptop","OrangeHRM UI & Responsive Verification","Thu Apr 16 09:29:57 UTC 2026","passed","Thu Apr 16 09:30:05 UTC 2026","","","",""
"","6745","Should verify UI layout on Tablet","OrangeHRM UI & Responsive Verification","Thu Apr 16 09:30:05 UTC 2026","passed","Thu Apr 16 09:30:11 UTC 2026","","","",""
"","9143","Should verify UI layout on Mobile","OrangeHRM UI & Responsive Verification","Thu Apr 16 09:30:11 UTC 2026","passed","Thu Apr 16 09:30:21 UTC 2026","","","",""
"","21651","Should login and redirect to dashboard URL","OrangeHRM End-to-End Login Flow","Thu Apr 16 09:30:26 UTC 2026","passed","Thu Apr 16 09:30:48 UTC 2026","","","",""
"","25462","Should login and redirect to dashboard URL","OrangeHRM End-to-End Login Flow","Thu Apr 16 09:29:20 UTC 2026","passed","Thu Apr 16 09:29:45 UTC 2026","","","",""
"","25083","Should login and redirect to dashboard URL","OrangeHRM End-to-End Login Flow","Thu Apr 16 09:29:16 UTC 2026","passed","Thu Apr 16 09:29:41 UTC 2026","","","",""
"","6998","Should verify UI layout on Desktop_FHD","OrangeHRM UI & Responsive Verification","Thu Apr 16 09:30:39 UTC 2026","passed","Thu Apr 16 09:30:46 UTC 2026","","","",""
"OrangeHRM Login sayfasinin WCAG 2.1 AA standartlarina göre derinlemesine taranmasi.","10704","Should perform a deep scan for WCAG 2.1 AA","OrangeHRM Accessibility Deep Audit","Thu Apr 16 09:29:06 UTC 2026","failed","Thu Apr 16 09:29:16 UTC 2026","","","",""
